streets,zipcodes
whitney avenue,11373.0
88 street,11423.0
57 street,10019.0
south street,10038.0
225 st,10466.0
east 156 street,
east 133 street,
manhattan bridge lower level,
manhattan bridge upper level,
fdr drive viaduct,
nassau expressway,11430.0
manor avenue,10472.0
manor road,10314.0
targee street,10304.0
bay street,10304.0
clove road,10304.0
renwick avenue,
narrows road north,
beach channel drive,11692.0
park avenue viaduct,
147 avenue,11413.0
cedar lawn avenue,
korean war vets parkway sr,
korean war vets parkway,
everton avenue,
barlow avenue,10308.0
32 ave,11369.0
east burnside avenue,10457.0
henry hudson parkway e,10463.0
grand concourse service road,
200 street,11423.0
hewlett street,11362.0
73 street,10460.0
bath avenue,11214.0
brooklyn queens expressway,11377.0
brooklyn queens exresspway,
hunts point avenue,10474.0
harlem river drive,10034.0
ed koch queensboro bridge lower level inner roadway,
ed koch queensboro bridge lower,
ed koch queensboro bridge upper level,
ed koch queensboro bridge lower level outer roadway,
73 place slip lane,
eckford avenue,11417.0
surf avenue,11224.0
49 street,10451.0
fort hamilton parkway,11219.0
east 119 street,
audubon avenue,10033.0
2 avenue main road,
2 avenue service road,
benson avenue,11214.0
avenue p,11204.0
bay parkway,11214.0
141 street,10030.0
archer avenue,11435.0
lakewood avenue,11435.0
staten island expressway,
grand central parkway nb left roadway,
grand central parkway right roadway,
26 avenue,11204.0
5th avenue,
3rd avenue,
columbus circle eb,
columbus circle nb,
st marys street,
caton avenue,11226.0
pelham bridge,
pennsylvania avenue,11207.0
church avenue,11218.0
37 avenue,11372.0
state street,11201.0
greenwich street,10013.0
west 55 street,
west 57 street,
commercial street,11222.0
jj byrne memorial bridge,
west 53 street,
central park south,10019.0
st james place,11238.0
west 48 street,10036.0
west 49 street,
frederick douglass boulevard,10026.0
west 125 street,
central park north,10026.0
adamn c powell boulevard,
marathon parkway,11362.0
neptune avenue,11224.0
stillwellavenue,
seagirt boulevard,11691.0
marmion avenue,10460.0
belmont avenue,10458.0
fountain avenue,11208.0
east 23 street,
ocean parkway main road,
ocean parkway service road,
east 4 street,
east burnside avenue main road,
east burnside avenue service road,
sheridan expressway,
bushwick avenue,11207.0
hollis court boulevard,11428.0
underhill avenue,11238.0
brooklyn queens expressway main road,
brooklyn queens expressway service road,
rogers avenue,11225.0
classon avenue,11205.0
brooklyn avenue,11225.0
exterior street/135 street,
woodhaven boulevard main road,
woodhaven boulevard service road,
bedford park boulevard main road,
bedford park boulevard  service road,
167 street,10032.0
west 42 street,
204 street,10467.0
east 170  main road,
east 170 main road,
east 170 service road,
webster ave,10456.0
w 155 street,
poly place,
montrose avenue,11206.0
central avenue,11221.0
56 road,11378.0
jewel avenue,11367.0
grand concourse main road,
east 170  service road,
11th street,
2 avenue service rd,
34th avenue,
48st street,
59 ave,11223.0
69 st,10452.0
bainbrige avenue,
beach st,10304.0
booth memorial ave.,11355.0
murdock ave,11412.0
college point beoulevard,
cooper ave,11385.0
corona ave,11368.0
cypress ave,11385.0
douglaston pkwy,
elmhurst ave,11373.0
green avenue,10472.0
hamilton avenue,10301.0
hillside ave,11435.0
hylan blvd south,
steuben st,10304.0
hylan blvd.,
junction blvd,
northern blvd,
ocean  avenue,
richmond ave,10314.0
sunrise highway,
126th st,
st nicholas ave,10026.0
steinway st,11103.0
van duzer st,10304.0
woolley aveneue,
10th avenue,
103rd street,
108th street,
11th avenue,
13th avenue,
14th avenue,
164th street,
188th street,
2nd avenue,
31st avenue,
31st street,
34th st,
35th avenue,
39th avenue,
47th avenue,
48th street,
51th avenue,
58th st,
58th street,
60th street,
63rd drive,
65th street,
7th avenue,
8th avenue,
82nd street,
9th avenue,
94th avenue,
adam c powell boulevard,10027.0
arden ave,10312.0
6th avenue,
barlow ave,10308.0
cedar ave,10468.0
colonial rd,
east 135th street,
east 138th street,
east 144th street,
east 149th street,
east 161st street,
east 163rd street,
east 169th street,
east 170th street,
east 174th street,
east 177th street,
east 18th street,
e 204th st,
east 23rd street,
east 233rd street,
east 241st street,
fort washington avenue,10040.0
greenwich st,10013.0
honeywell st,
main st,11201.0
pelham bridge rd,
queens blvd,
richmond,10314.0
rosedale ave,10473.0
southern blvd,
st. anns ave,
west 125th street,
west 135th street,
west 145th street,
west 155th street,
west 167th street,
west 30th street,
west 34th street,
west 39th street,
west 48th street,
west 53rd street,
west 55th street,
west 56th street,
west 57th street,
west 49th street,
