date,zipcode,time_block,traffic_volume,avg_travel_time
2012-01-30,10452,19,265.3,332.66666666666663
2012-01-30,10452,22,140.6,332.66666666666663
2012-01-30,10456,0,113.85714285714286,273.0
2012-01-30,10456,1,73.0,273.0
2012-01-30,10456,22,161.0,273.0
2012-01-30,10456,23,121.28571428571429,273.0
2012-01-30,11355,1,38.0,400.0
2012-01-30,11355,20,264.0,400.0
2012-01-30,11355,21,191.0,400.0
2012-01-30,11420,12,697.3,359.0
2012-01-30,11420,14,790.5,359.0
2012-01-30,11420,20,534.7,359.0
2012-01-31,10026,3,8.0,357.5
2012-01-31,10026,11,76.0,357.5
2012-01-31,10026,12,89.0,357.5
2012-01-31,10026,13,106.0,357.5
2012-01-31,10453,11,249.0,186.0
2012-01-31,10453,14,250.0,186.0
2012-01-31,10453,17,322.0,186.0
2012-01-31,10453,18,334.0,186.0
2012-01-31,10453,19,271.0,186.0
2012-01-31,10453,20,194.0,186.0
2012-01-31,10453,22,149.0,186.0
2012-01-31,10454,0,97.1,442.0
2012-01-31,10454,9,430.8,442.0
2012-01-31,10454,21,184.8,442.0
2012-01-31,10454,23,130.8,442.0
2012-01-31,10472,3,17.636363636363637,489.0
2012-01-31,10472,14,189.0,489.0
2012-01-31,10472,16,227.27272727272728,489.0
2012-01-31,10472,18,211.72727272727272,489.0
2012-01-31,11101,3,7.0,707.0
2012-01-31,11101,8,176.0,707.0
2012-01-31,11101,12,156.0,707.0
2012-01-31,11101,22,48.5,707.0
2012-01-31,11101,23,26.5,707.0
2012-01-31,11369,3,28.5,570.0
2012-01-31,11369,9,350.0,570.0
2012-01-31,11369,19,395.5,570.0
2012-01-31,11385,0,66.625,741.5
2012-01-31,11385,5,91.0,741.5
2012-01-31,11385,6,199.125,741.5
2012-01-31,11385,18,355.75,741.5
2012-01-31,11385,20,224.375,741.5
2012-01-31,11434,5,147.5,197.0
2012-01-31,11434,6,357.0,197.0
2012-01-31,11434,7,619.0,197.0
2012-01-31,11434,13,482.75,197.0
2012-01-31,11434,22,228.5,197.0
2012-02-01,10040,0,118.5,330.0
2012-02-01,10040,9,467.0,330.0
2012-02-01,10040,12,435.5,330.0
2012-02-01,10040,13,489.0,330.0
2012-02-01,10040,19,374.5,330.0
2012-02-01,10040,22,220.0,330.0
2012-02-01,10451,2,57.9,134.0
2012-02-01,10451,16,544.6,134.0
2012-02-01,10453,6,100.0,323.0
2012-02-01,10453,8,209.0,323.0
2012-02-01,10453,21,169.0,323.0
2012-02-01,10456,1,64.85714285714286,334.0
2012-02-01,10456,3,39.857142857142854,334.0
2012-02-01,10456,10,308.85714285714283,334.0
2012-02-01,10456,11,330.0,334.0
2012-02-01,10456,13,353.14285714285717,334.0
2012-02-01,10459,6,107.16666666666667,358.0
2012-02-01,10459,10,261.0,358.0
2012-02-01,10459,19,229.5,358.0
2012-02-01,10460,11,269.0,668.0
2012-02-01,10460,15,389.5,668.0
2012-02-01,10472,1,31.818181818181817,205.0
2012-02-01,10472,4,22.272727272727273,205.0
2012-02-01,10472,13,206.72727272727272,205.0
2012-02-01,11201,10,436.5,329.0
2012-02-01,11201,11,394.5,329.0
2012-02-01,11201,12,370.0,329.0
2012-02-01,11201,19,407.5,329.0
2012-02-01,11355,1,41.5,460.0
2012-02-01,11355,6,244.5,460.0
2012-02-01,11355,14,360.0,460.0
2012-02-01,11355,16,499.0,460.0
2012-02-01,11355,19,324.0,460.0
2012-02-01,11355,22,192.0,460.0
2012-02-01,11372,0,213.0,386.0
2012-02-01,11372,3,304.0,386.0
2012-02-01,11372,4,413.0,386.0
2012-02-01,11372,9,383.0,386.0
2012-02-01,11372,10,465.0,386.0
2012-02-01,11372,14,456.0,386.0
2012-02-01,11372,17,532.0,386.0
2012-02-01,11372,21,378.0,386.0
2012-02-01,11427,11,422.0,438.0
2012-02-02,10456,2,47.0,235.0
2012-02-02,10456,10,305.0,235.0
2012-02-02,10456,13,354.2857142857143,235.0
2012-02-02,10456,14,388.14285714285717,235.0
2012-02-02,10456,15,457.7142857142857,235.0
2012-02-02,10456,19,324.42857142857144,235.0
2012-02-02,10462,5,234.66666666666666,234.0
2012-02-02,10462,8,532.5,234.0
2012-02-02,10462,21,295.0,234.0
2012-02-02,10462,22,257.5,234.0
2012-02-02,10474,12,153.0,295.0
2012-02-02,10474,18,98.5,295.0
2012-02-02,10474,19,79.0,295.0
